bank_name|bank_link|city|state|closing_date|assets|deposit|acquirer_notes
Dwelling House Savings and Loan Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/dwelling.html|Pittsburgh|PA|August 14, 2009|$13.4|$13.8|PNC Bank, National Association, Pittsburgh, PA has agreed to assume all deposits.
Community First Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-prineville.html|Prineville|OR|August 7, 2009|$209.0|$182.0|Home Federal Bank, Nampa, ID, has agreed to assume all deposits, excluding certain brokered deposits.
Community National Bank of Sarasota County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-venice.html|Venice|FL|August 7, 2009|$97.0|$93.0|Stearns Bank National Association, St. Cloud, MN, has agreed to assume all deposits.
First State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fsb-sarasota.html|Sarasota|FL|August 7, 2009|$463.0|$387.0|Stearns Bank National Association, St. Cloud, MN, has agreed to assume all deposits, excluding certain brokered deposits.
Mutual Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mutual-harvey.html|Harvey|IL|July 31, 2009|$1,600.0|$1,600.0|United Central Bank, Garland, TX, has agreed to assume all deposits.
First BankAmericano|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americano.html|Elizabeth|NJ|July 31, 2009|$166.0|$157.0|Crown Bank, Brick, NJ, has agreed to assume all deposits.
Peoples Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplescommunity-oh.html|West Chester|OH|July 31, 2009|$705.8|$598.2|First Financial Bank, National Association, Hamilton, OH, has agreed to assume all deposits, excluding certain brokered deposits.
Integrity Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/integrity-fl.html|Jupiter|FL|July 31, 2009|$119.0|$102.0|Stonegate Bank, Fort Lauderdale, FL, has agreed to assume all deposits, excluding certain brokered deposits.
First State Bank of Altus|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fsb-altus.html|Altus|OK|July 31, 2009|$103.4|$98.2|Herring Bank, Amarillo, TX, has agreed to assume all deposits.
Security Bank of Bibb County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-bibb.html|Macon|GA|July 24, 2009|$1,200.0|$1,000.0|State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits.
Security Bank of Houston County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-houston.html|Perry|GA|July 24, 2009|$383.0|$320.0|State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits.
Security Bank of Jones County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-jones.html|Gray|GA|July 24, 2009|$453.0|$387.0|State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits.
Security Bank of Gwinnett County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-gwinnett.html|Suwanee|GA|July 24, 2009|$322.0|$292.0|State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits.
Security Bank of North Metro|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-metro.html|Woodstock|GA|July 24, 2009|$224.0|$212.0|State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits.
Security Bank of North Fulton|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-fulton.html|Alpharetta|GA|July 24, 2009|$209.0|$191.0|State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits.
Waterford Village Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/waterford.html|Williamsville|NY|July 24, 2009|$61.4|$58.0|Evans Bank, National Association, Angola, NY, has agreed to assume all deposits.
Temecula Valley Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/temecula.html|Temecula|CA|July 17, 2009|$1,500.0|$1,300.0|First-Citizens Bank & Trust Company, Raleigh, North Carolina, has agreed to assume all deposits, excluding certain brokered deposits.
Vineyard Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vineyard.html|Rancho Cucamonga|CA|July 17, 2009|$1,900.0|$1,600.0|California Bank & Trust, San Diego, CA, has agreed to assume all deposits, excluding certain brokered deposits.
BankFirst|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankfirst.html|Sioux Falls|SD|July 17, 2009|$275.0|$254.0|Alerus Financial, National Association, Grand Forks, ND, has agreed to assume all deposits.
First Piedmont Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/piedmont.html|Winder|GA|July 17, 2009|$115.0|$109.0|First American Bank and Trust Company, Athens, GA, has agreed to assume all deposits.
Bank of Wyoming|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wyoming.html|Thermopolis|WY|July 10, 2009|$70.0|$67.0|Central Bank & Trust, Lander, WY, has agreed to assume all deposits, excluding certain brokered deposits.
Founders Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/founders.html|Worth|IL|July 2, 2009|$962.5|$848.9|The PrivateBank and Trust Company, Chicago, IL, has agreed to assume all deposits.
Millennium State Bank of Texas|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/millennium.html|Dallas|TX|July 2, 2009|$118.0|$115.0|State Bank of Texas, Irving, Texas, has agreed to assume all deposits.
The First National Bank of Danville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/danville.html|Danville|IL|July 2, 2009|$166.0|$147.0|First Financial Bank, National Association, Terre Haute, Indiana, has agreed to assume all deposits.
The Elizabeth State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/elizabeth.html|Elizabeth|IL|July 2, 2009|$55.5|$50.4|Galena State Bank and Trust Company, Galena, IL, has agreed to assume all deposits.
Rock River Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rockriver.html|Oregon|IL|July 2, 2009|$77.0|$75.8|The Harvard State Bank, Harvard, Illinois, has agreed to assume all deposits.
The First State Bank of Winchester|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/winchester.html|Winchester|IL|July 2, 2009|$36.0|$34.0|The First National Bank of Beardstown, Beardstown, IL, has agreed to assume all deposits.
The John Warner Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/warner.html|Clinton|IL|July 2, 2009|$70.0|$64.0|State Bank of Lincoln, Lincoln, IL, has agreed to assume all deposits.
Mirae Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mirae.html|Los Angeles|CA|June 26, 2009|$456.0|$362.0|Wilshire State Bank, Los Angeles, CA, has agreed to assume all deposits.
MetroPacific Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/metropacific.html|Irvine|CA|June 26, 2009|$80.0|$73.0|Sunwest Bank, Tustin, CA, has agreed to assume all non-brokered deposits.
Horizon Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/horizon.html|Pine City|MN|June 26, 2009|$87.6|$69.4|Stearns Bank National Association, St. Cloud, Minnesota, has agreed to assume all deposits, excluding certain brokered deposits.
Neighborhood Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/neighbor.html|Newnan|GA|June 26, 2009|$221.6|$191.3|CharterBank, West Point, GA, has agreed to assume all deposits.
Community Bank of West Georgia|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communityga.html|Villa Rica|GA|June 26, 2009|$199.4|$182.5|The FDIC has approved the payout of the insured deposits of Community Bank of West Georgia.
First National Bank of Anthony|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/anthony.html|Anthony|KS|June 19, 2009|$156.9|$142.5|Bank of Kansas, South Hutchinson, Kansas, has agreed to assume all deposits.
Cooperative Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cooperative.html|Wilmington|NC|June 19, 2009|$970.0|$774.0|First Bank, Troy, NC, has agreed to assume all deposits, excluding certain brokered deposits.
Southern Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/scb.html|Fayetteville|GA|June 19, 2009|$377.0|$307.0|United Community Bank, Blairsville, GA, has agreed to assume all deposits.
Bank of Lincolnwood|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lincolnwood.html|Lincolnwood|IL|June 5, 2009|$214.0|$202.0|Republic Bank of Chicago, Oak Brook, Illinois, has agreed to assume all deposits.
Citizens National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizensnational.html|Macomb|IL|May 22, 2009|$437.0|$400.0|Morton Community Bank, Morton, IL, has agreed to assume all non-brokered deposits.
Strategic Capital Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/strategiccapital.html|Champaign|IL|May 22, 2009|$537.0|$471.0|Midland States Bank, Effingham, IL, has agreed to assume all deposits.
BankUnited FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankunited.html|Coral Gables|FL|May 21, 2009|$12,800.0|$8,600.0|BankUnited, Coral Gables, FL, has agreed to assume all deposits.
Westsound Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westsound.html|Bremerton|WA|May 8, 2009|$334.6|$304.5|Kitsap Bank, Port Orchard, WA, has agreed to assume all non-brokered deposits.
America West Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americawest.html|Layton|UT|May 1, 2009|$299.4|$284.1|Cache Valley Bank, Logan, Utah, has agreed to assume all deposits.
Citizens Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizens.html|Ridgewood|NJ|May 1, 2009|$45.1|$43.7|North Jersey Community Bank, Englewood Cliffs, NJ, has agreed to assume all deposits.
Silverton Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silverton.html|Atlanta|GA|May 1, 2009|$4,100.0|$3,300.0|The FDIC created a bridge bank, Silverton Bridge Bank, National Association, to take over operations.
First Bank of Idaho|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankidaho.html|Ketchum|ID|April 24, 2009|$488.9|$374.0|U.S. Bank, National Association, Minneapolis, MN, has agreed to assume all non-brokered deposits.
First Bank of Beverly Hills|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/beverlyhills.html|Calabasas|CA|April 24, 2009|$1,500.0|$1,000.0|The FDIC has approved the payout of the insured deposits of First Bank of Beverly Hills.
Michigan Heritage Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/michiganheritage.html|Farmington Hills|MI|April 24, 2009|$184.6|$151.7|Level One Bank, Farmington Hills, MI, has agreed to assume all deposits.
American Southern Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amsouthern.html|Kennesaw|GA|April 24, 2009|$112.3|$104.3|Bank of North Georgia, Alpharetta, GA, has agreed to assume all non-brokered deposits.
Great Basin Bank of Nevada|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/greatbasin.html|Elko|NV|April 17, 2009|$270.9|$221.4|Nevada State Bank, Las Vegas, NV, has agreed to assume all deposits.
American Sterling Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amsterling.html|Sugar Creek|MO|April 17, 2009|$181.0|$171.9|Metcalf Bank, Lee's Summit, Missouri, has agreed to assume all deposits
New Frontier Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newfrontier.html|Greeley|CO|April 10, 2009|$2,000.0|$1,500.0|Deposit Insurance National Bank of Greeley, Greeley, Colorado has agreed to assume the non-brokered insured deposits.
Cape Fear Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/capefear.html|Wilmington|NC|April 10, 2009|$492.0|$403.0|First Federal Savings and Loan Association, Charleston, South Carolina, has agreed to assume all deposits, excluding certain brokered deposits.
Omni National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/omni.html|Atlanta|GA|March 27, 2009|$956.0|$796.8|SunTrust Bank, Atlanta, GA has agreed to assume the non-brokered insured deposits.
TeamBank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/teambank.html|Paola|KS|March 20, 2009|$669.8|$492.8|Great Southern Bank, Springfield, Missouri, has agreed to assume all deposits.
Colorado National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coloradonational.html|Colorado Springs|CO|March 20, 2009|$123.5|$82.7|Herring Bank, Amarillo, TX has agreed to assume all deposits.
FirstCity Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcity.html|Stockbridge|GA|March 20, 2009|$297.0|$278.0|The FDIC has approved the payout of the insured deposits of FirstCity Bank.
Freedom Bank of Georgia|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/freedomga.html|Commerce|GA|March 6, 2009|$173.0|$161.0|Northeast Georgia Bank, Lavonia, Georgia has agreed to assume all deposits.
Security Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitysavings.html|Henderson|NV|February 27, 2009|$238.3|$175.2|Bank of Nevada, Las Vegas, NV has agreed to assume all non-brokered deposits.
Heritage Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritagebank.html|Glenwood|IL|February 27, 2009|$232.9|$218.6|The MB Financial Bank, National Association, Chicago, Illinois has agreed to assume all deposits.
Silver Falls Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silverfalls.html|Silverton|OR|February 20, 2009|$131.4|$116.3|Citizens Bank, Corvallis, Oregon has agreed to assume all deposits.
Pinnacle Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pinnacle.html|Beaverton|OR|February 13, 2009|$73.0|$64.0|Washington Trust Bank, Spokane, WA has agreed to assume all deposits.
Corn Belt Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cornbelt.html|Pittsfield|IL|February 13, 2009|$271.8|$234.4|The Carlinville National Bank, Carlinville, Illinois has agreed to assume all non-brokered deposits.
Riverside Bank of the Gulf Coast|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/riverside.html|Cape Coral|FL|February 13, 2009|$539.0|$424.0|TIB Bank, Naples, Florida has agreed to assume all non-brokered deposits.
Sherman County Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sherman.html|Loup City|NE|February 13, 2009|$129.8|$85.1|Heritage Bank, Wood River, NE has agreed to assume all deposits.
County Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/county.html|Merced|CA|February 6, 2009|$1,700.0|$1,300.0|Westamerica Bank, San Rafael, CA has agreed to assume all deposits
Alliance Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/alliance.html|Culver City|CA|February 6, 2009|$1,140.0|$951.0|California Bank & Trust, San Diego, California has agreed to assume all deposits.
FirstBank Financial Services|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbank.html|McDonough|GA|February 6, 2009|$337.0|$279.0|Regions Bank, Birmingham, Alabama has agreed to assume all deposits.
Ocala National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ocala.html|Ocala|FL|January 30, 2009|$223.5|$205.2|CenterState Bank of Florida, Winter Haven, FL has agreed to assume all non-brokered deposits.
Suburban Federal Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/suburban.html|Crofton|MD|January 30, 2009|$360.0|$302.0|Bank of Essex, Tappahannock, VA has agreed to assume all deposits.
MagnetBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/magnet.html|Salt Lake City|UT|January 30, 2009|$292.9|$282.8|The FDIC has approved the payout of the insured deposits of MagnetBank.
1st Centennial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centennial.html|Redlands|CA|January 23, 2009|$803.3|$676.9|First California Bank, Westlake Village, CA has agreed to assume the non-brokered insured deposits.
Bank of Clark County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/clark.html|Vancouver|WA|January 16, 2009|$446.5|$366.5|Umpqua Bank, Roseburg, Oregon has agreed to assume the non-brokered insured deposits.
National Bank of Commerce|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commerce.html|Berkeley|IL|January 16, 2009|$430.9|$402.1|In addition to assuming all of the failed bank's deposits, Republic Bank of Chicago, Oak Brook, IL agreed to pay a discount of $44.9 million, and will purchase approximately $366.6 million of assets. The FDIC will retain the remaining assets for later disposition.
Community National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communitynatl.html|Lino Lakes|MN|December 17, 2010|$31.6|$28.8|Farmers & Merchants Savings Bank, Manchester, IA, has agreed to assume all deposits.
First Southern Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstsouthern.html|Batesville|AR|December 17, 2010|$191.8|$155.8|Southern Bank, Poplar Bluff, MO has agreed to assume all deposits excluding certain brokered deposits.
United Americas Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/unitedamericas.html|Atlanta|GA|December 17, 2010|$242.3|$193.8|State Bank and Trust Company, Macon, GA has agreed to assume all deposits excluding certain brokered deposits.
Appalachian Community Bank FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/appalachianga.html|McCaysville|GA|December 17, 2010|$68.2|$76.4|Peoples Bank of East Tennessee, Madisonville, TN has agreed to assume all deposits excluding certain brokered deposits.
Chestatee State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/chestatee.html|Dawsonville|GA|December 17, 2010|$244.4|$240.5|Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits.
The Bank of Miami National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofmiami.html|Coral Gables|FL|December 17, 2010|$448.2|$374.2|1st United Bank, Boca Raton, FL has agreed to assume all deposits excluding certain brokered deposits.
Earthstar Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/earthstar.html|Southampton|PA|December 10, 2010|$112.6|$104.5|Polonia Bank, Huntingdon Valley, PA has agreed to assume all deposits.
Paramount Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/paramount.html|Farmington Hills|MI|December 10, 2010|$252.7|$213.6|Level One Bank, Farmington Hills, MI has agreed to assume all deposits excluding certain brokered deposits.
First Banking Center|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbanking.html|Burlington|WI|November 19, 2010|$750.7|$664.8|First Michigan Bank, Troy, MI has agreed to assume all deposits excluding certain brokered deposits.
Allegiance Bank of North America|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/allegbank.html|Bala Cynwyd|PA|November 19, 2010|$106.6|$92.0|VIST Bank, Wyomissing, PA has agreed to assume all deposits excluding certain brokered deposits.
Gulf State Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gulfstate.html|Carrabelle|FL|November 19, 2010|$112.1|$112.2|Centennial Bank, Conway, AR has agreed to assume all deposits excluding certain brokered deposits.
Copper Star Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/copperstar.html|Scottsdale|AZ|November 12, 2010|$204.0|$190.2|Stearns Bank National Association, Saint Cloud, MN has agreed to assume all deposits excluding certain brokered deposits.
Darby Bank & Trust Co.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/darbybank.html|Vidalia|GA|November 12, 2010|$654.7|$587.6|Ameris Bank, Moultrie, GA has agreed to assume all deposits excluding certain brokered deposits.
Tifton Banking Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tifton.html|Tifton|GA|November 12, 2010|$143.7|$141.6|Ameris Bank, Moultrie, GA has agreed to assume all deposits including certain brokered deposits.
First Vietnamese American Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstvietnamese.html|Westminster|CA|November 5, 2010|$48.0|$47.0|Grandpoint Bank, Los Angeles, CA has agreed to assume all deposits excluding certain brokered deposits.
Pierce Commercial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/piercecommercial.html|Tacoma|WA|November 5, 2010|$221.1|$193.5|Heritage Bank, Olympia, WA has agreed to assume all deposits.
Western Commercial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westerncommercial-ca.html|Woodland Hills|CA|November 5, 2010|$98.6|$101.1|First California Bank, Westlake Village, CA has agreed to assume all deposits.
K Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/kbank.html|Randallstown|MD|November 5, 2010|$538.3|$500.1|Manufacturers and Traders Trust Company, Buffalo, NY has agreed to assume all deposits excluding certain brokered deposits.
First Arizona Savings A FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstazfsb.html|Scottsdale|AZ|October 22, 2010|$272.2|$198.8|The FDIC has approved the payout of the insured deposits of First Arizona Savings, A FSB.
Hillcrest Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hillcrest-ks.html|Overland Park|KS|October 22, 2010|$1,650.0|$1,540.0|Hillcrest Bank, National Association, Overland Park, KS has agreed to assume all deposits excluding certain brokered deposits.
First Suburban National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstsuburban.html|Maywood|IL|October 22, 2010|$148.7|$140.0|Seaway Bank and Trust Company, Chicago, IL has agreed to assume all deposits excluding certain brokered deposits.
The First National Bank of Barnesville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbbarnesville.html|Barnesville|GA|October 22, 2010|$131.4|$127.1|United Bank, Zebulon, GA has agreed to assume all deposits excluding certain brokered deposits.
The Gordon Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gordon.html|Gordon|GA|October 22, 2010|$29.4|$26.7|Morris Bank, Dublin, GA has agreed to assume all deposits.
Progress Bank of Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/progress-fl.html|Tampa|FL|October 22, 2010|$110.7|$101.3|Bay Cities Bank, Tampa, FL has agreed to assume all deposits excluding certain brokered deposits.
First Bank of Jacksonville|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankjacksonville.html|Jacksonville|FL|October 22, 2010|$81.0|$77.3|Ameris Bank, Moultrie, GA has agreed to assume all deposits.
Premier Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premier-mo.html|Jefferson City|MO|October 15, 2010|$1,180.0|$1,030.0|Providence Bank, Columbia, MO has agreed to assume all deposits excluding certain brokered deposits.
WestBridge Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westbridge.html|Chesterfield|MO|October 15, 2010|$91.5|$72.5|Midland States Bank, Effingham, IL has agreed to assume all deposits excluding certain brokered deposits.
Security Savings Bank F.S.B.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitysavingsfsb.html|Olathe|KS|October 15, 2010|$508.4|$397.0|Simmons First National Bank, Pine Bluff, AR has agreed to assume all deposits.
Shoreline Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/shoreline.html|Shoreline|WA|October 1, 2010|$104.2|$100.2|GBC International Bank, Los Angeles, CA has agreed to assume all deposits excluding certain brokered deposits.
Wakulla Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wakulla.html|Crawfordville|FL|October 1, 2010|$424.1|$386.3|Centennial Bank, Conway, AR has agreed to assume all deposits excluding certain brokered deposits.
North County Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northcounty.html|Arlington|WA|September 24, 2010|$288.8|$276.1|Whidbey Island Bank, Coupeville, WA has agreed to assume all deposits excluding certain brokered deposits.
Haven Trust Bank Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/haventrust-fl.html|Ponte Vedra Beach|FL|September 24, 2010|$148.6|$133.6|First Southern Bank, Boca Raton, FL has agreed to assume all deposits excluding certain brokered deposits.
Maritime Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/maritimesavings.html|West Allis|WI|September 17, 2010|$350.5|$248.1|North Shore Bank, FSB, Brookfield, WI has agreed to assume all deposits excluding certain brokered deposits.
Bramble Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bramblesavings.html|Milford|OH|September 17, 2010|$47.5|$41.6|Foundation Bank, Cincinnati, OH has agreed to assume all deposits excluding certain brokered deposits.
The Peoples Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplesbank-ga.html|Winder|GA|September 17, 2010|$447.2|$398.2|Community & Southern Bank, Carrollton, GA has agreed to assume all deposits excluding certain brokered deposits.
First Commerce Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcommerce-ga.html|Douglasville|GA|September 17, 2010|$248.2|$242.8|Community & Southern Bank, Carrollton, GA has agreed to assume all deposits excluding certain brokered deposits.
Bank of Ellijay|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ellijay.html|Ellijay|GA|September 17, 2010|$168.8|$160.7|Community & Southern Bank, Carrollton, GA has agreed to assume all deposits.
ISN Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/isnbank.html|Cherry Hill|NJ|September 17, 2010|$81.6|$79.7|New Century Bank, Phoenixville, PA has agreed to assume all deposits excluding certain brokered deposits.
Horizon Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/horizonfl.html|Bradenton|FL|September 10, 2010|$187.8|$164.6|Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits excluding certain brokered deposits.
Sonoma Valley Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sonoma.html|Sonoma|CA|August 20, 2010|$337.1|$255.5|Westamerica Bank, San Rafael, CA has agreed to assume all deposits.
Los Padres Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lospadres.html|Solvang|CA|August 20, 2010|$870.4|$770.7|Pacific Western Bank, San Diego, CA has agreed to assume all deposits.
Butte Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/butte.html|Chico|CA|August 20, 2010|$498.8|$471.3|Rabobank, National Association, El Centro, CA has agreed to assume all deposits.
Pacific State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pacificbk.html|Stockton|CA|August 20, 2010|$312.1|$278.8|Rabobank, National Association, El Centro, CA has agreed to assume all deposits, excluding certain brokered deposits.
ShoreBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/shorebank.html|Chicago|IL|August 20, 2010|$2,160.0|$1,540.0|Urban Partnership Bank, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits.
Imperial Savings and Loan Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/imperialsvgs.html|Martinsville|VA|August 20, 2010|$9.4|$10.1|River Community Bank, National Association (N.A), Martinsville, VA has agreed to assume all deposits.
Independent National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/inatbank.html|Ocala|FL|August 20, 2010|$156.2|$141.9|CenterState Bank of Florida, National Association, Winter Haven, FL has agreed to assume all deposits.
Community National Bank at Bartow|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cnbbartow.html|Bartow|FL|August 20, 2010|$67.9|$63.7|CenterState Bank of Florida, National Association, Winter Haven, FL has agreed to assume all deposits, excluding certain brokered deposits.
Palos Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/palosbank.html|Palos Heights|IL|August 13, 2010|$493.4|$467.8|First Midwest Bank, Itasca, IL has agreed to assume all deposits.
